match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
10,2,MI,SRH,7,3,0,MI
10,2,MI,SRH,8,9,0,MI
10,2,MI,SRH,9,3,0,MI
10,2,MI,SRH,10,9,1,MI
10,2,MI,SRH,11,5,0,MI
10,2,MI,SRH,12,7,0,MI
10,2,MI,SRH,13,11,0,MI
10,2,MI,SRH,14,4,1,MI
10,2,MI,SRH,15,9,0,MI
10,2,MI,SRH,16,13,0,MI
10,2,MI,SRH,17,15,0,MI
10,2,MI,SRH,18,6,2,MI
10,2,MI,SRH,19,4,0,MI
10,2,,,20,0,0,MI
11,1,KXIP,KKR,1,10,0,KKR
11,1,KXIP,KKR,2,11,0,KKR
11,1,KXIP,KKR,3,9,0,KKR
11,1,KXIP,KKR,4,15,0,KKR
11,1,KXIP,KKR,5,8,0,KKR
11,1,KXIP,KKR,6,4,1,KKR
11,1,KXIP,KKR,7,5,0,KKR
11,1,KXIP,KKR,8,5,1,KKR
11,1,KXIP,KKR,9,11,0,KKR
11,1,KXIP,KKR,10,17,0,KKR
11,1,KXIP,KKR,11,2,0,KKR
11,1,KXIP,KKR,12,1,1,KKR
11,1,KXIP,KKR,13,6,1,KKR
11,1,KXIP,KKR,14,15,0,KKR
11,1,KXIP,KKR,15,15,0,KKR
11,1,KXIP,KKR,16,4,0,KKR
11,1,KXIP,KKR,17,7,0,KKR
11,1,KXIP,KKR,18,11,3,KKR
11,1,KXIP,KKR,19,10,0,KKR
11,1,KXIP,KKR,20,4,2,KKR
11,2,KKR,KXIP,1,5,0,KKR
11,2,KKR,KXIP,2,10,0,KKR
11,2,KKR,KXIP,3,16,0,KKR
11,2,KKR,KXIP,4,11,0,KKR
11,2,KKR,KXIP,5,18,0,KKR
11,2,KKR,KXIP,6,16,1,KKR
11,2,KKR,KXIP,7,13,0,KKR
11,2,KKR,KXIP,8,10,0,KKR
11,2,KKR,KXIP,9,8,0,KKR
11,2,KKR,KXIP,10,9,1,KKR
11,2,KKR,KXIP,11,7,0,KKR
11,2,KKR,KXIP,12,5,0,KKR
11,2,KKR,KXIP,13,8,0,KKR
11,2,KKR,KXIP,14,12,0,KKR
11,2,KKR,KXIP,15,9,0,KKR
11,2,KKR,KXIP,16,7,0,KKR
11,2,KKR,KXIP,17,7,0,KKR
11,2,,,18,0,0,KKR
11,2,,,19,0,0,KKR
11,2,,,20,0,0,KKR
12,1,RCB,MI,1,6,0,MI
12,1,RCB,MI,2,1,0,MI
12,1,RCB,MI,3,17,0,MI
12,1,RCB,MI,4,4,0,MI
12,1,RCB,MI,5,6,0,MI
12,1,RCB,MI,6,7,0,MI
12,1,RCB,MI,7,9,0,MI
12,1,RCB,MI,8,3,0,MI
12,1,RCB,MI,9,9,0,MI
12,1,RCB,MI,10,4,1,MI
12,1,RCB,MI,11,5,0,MI
12,1,RCB,MI,12,5,0,MI
12,1,RCB,MI,13,9,0,MI
12,1,RCB,MI,14,19,0,MI
12,1,RCB,MI,15,6,0,MI
12,1,RCB,MI,16,4,1,MI
12,1,RCB,MI,17,5,1,MI
12,1,RCB,MI,18,8,1,MI
12,1,RCB,MI,19,5,1,MI
12,1,RCB,MI,20,10,0,MI
12,2,MI,RCB,1,4,0,MI
12,2,MI,RCB,2,3,1,MI
12,2,MI,RCB,3,1,3,MI
12,2,MI,RCB,4,2,0,MI
12,2,MI,RCB,5,8,0,MI
12,2,MI,RCB,6,3,0,MI
12,2,MI,RCB,7,10,0,MI
12,2,MI,RCB,8,2,1,MI
12,2,MI,RCB,9,4,0,MI
12,2,MI,RCB,10,11,0,MI
12,2,MI,RCB,11,6,0,MI
12,2,MI,RCB,12,11,0,MI
12,2,MI,RCB,13,5,0,MI
12,2,MI,RCB,14,10,0,MI
12,2,MI,RCB,15,11,0,MI
12,2,MI,RCB,16,19,0,MI
12,2,MI,RCB,17,10,0,MI
12,2,MI,RCB,18,13,1,MI
12,2,MI,RCB,19,12,0,MI
12,2,,,20,0,0,MI
13,1,PW,GL,1,6,1,GL
13,1,PW,GL,2,9,0,GL
13,1,PW,GL,3,8,0,GL
13,1,PW,GL,4,12,0,GL
13,1,PW,GL,5,25,0,GL
13,1,PW,GL,6,4,1,GL
13,1,PW,GL,7,9,0,GL
13,1,PW,GL,8,3,0,GL
13,1,PW,GL,9,11,0,GL
13,1,PW,GL,10,5,1,GL
13,1,PW,GL,11,9,0,GL
13,1,PW,GL,12,5,0,GL
13,1,PW,GL,13,4,1,GL
13,1,PW,GL,14,10,0,GL
13,1,PW,GL,15,6,1,GL
13,1,PW,GL,16,9,0,GL
13,1,PW,GL,17,14,0,GL
13,1,PW,GL,18,6,0,GL
13,1,PW,GL,19,12,0,GL
13,1,PW,GL,20,4,3,GL
13,2,GL,PW,1,16,0,GL
13,2,GL,PW,2,11,0,GL
13,2,GL,PW,3,6,0,GL
13,2,GL,PW,4,11,0,GL
13,2,GL,PW,5,2,0,GL
13,2,GL,PW,6,15,0,GL
13,2,GL,PW,7,10,0,GL
13,2,GL,PW,8,20,0,GL
13,2,GL,PW,9,3,1,GL
13,2,GL,PW,10,2,0,GL
13,2,GL,PW,11,6,0,GL
13,2,GL,PW,12,5,1,GL
13,2,GL,PW,13,5,1,GL
13,2,GL,PW,14,11,0,GL
13,2,GL,PW,15,10,0,GL
13,2,GL,PW,16,13,0,GL
13,2,GL,PW,17,5,0,GL
13,2,GL,PW,18,21,0,GL
13,2,,,19,0,0,GL
13,2,,,20,0,0,GL
14,1,KKR,SRH,1,3,0,KKR
14,1,KKR,SRH,2,6,0,KKR
14,1,KKR,SRH,3,5,1,KKR
14,1,KKR,SRH,4,6,0,KKR
14,1,KKR,SRH,5,13,0,KKR
14,1,KKR,SRH,6,7,1,KKR
14,1,KKR,SRH,7,7,0,KKR
14,1,KKR,SRH,8,6,0,KKR
14,1,KKR,SRH,9,14,0,KKR
